EmpID,Title,ManagerKey,BusinessUnit,Department,Division,JobFunction,EmployeeType,Classification,PayZone,State,Gender,Ethnicity,AgeBand,AgeBandSort,TenureBand,TenureBandSort,TenureYears,Performance,Rating,StartDate,ExitDate,Status,SourceStatus,StatusCheck,LeaverReason,LeaverGroup,EarlyLeaver
1001,Software Engineer,M574,BPC,Software Engineering,Engineers,Engineer,Part-Time,Part-Time,Zone A,MA,Female,Black,55+,4,3-5 years,3,3.937,Fully Meets,3,2019-08-29,,Employed,Active,Agrees with dates,,,No
1002,Software Engineer,M575,NEL,Software Engineering,Catv,Foreman,Part-Time,Temporary,Zone A,MA,Female,Asian,55+,4,Under 1 year,0,0.457,Fully Meets,3,2022-12-12,2023-05-28,Left,Active,Contradicts dates,Involuntary,Involuntary,Yes
1003,Software Engineer,M576,WBL,Software Engineering,Field Operations,Foreman,Contract,Part-Time,Zone A,MA,Female,White,45-54,3,Under 1 year,0,0.019,Fully Meets,3,2023-03-08,2023-03-15,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1004,Software Engineer,M577,PYZ,Software Engineering,Project Management - Con,Coordinator,Part-Time,Part-Time,Zone C,MA,Male,Black,55+,4,Under 1 year,0,0.767,Fully Meets,3,2020-05-29,2021-03-05,Left,Active,Contradicts dates,Involuntary,Involuntary,Yes
1005,Software Engineer,M578,SVG,Software Engineering,Field Operations,Project Manager,Full-Time,Temporary,Zone B,MA,Male,Black,45-54,3,Under 1 year,0,0.887,Fully Meets,3,2022-09-16,,Employed,Active,Agrees with dates,,,No
1006,Software Engineer,M579,MSC,Software Engineering,Engineers,Administrative,Full-Time,Part-Time,Zone C,MA,Female,White,55+,4,Under 1 year,0,0.266,Fully Meets,3,2021-08-15,2021-11-20,Left,Active,Contradicts dates,Resignation,Voluntary,Yes
1007,Software Engineer,M580,SVG,Software Engineering,General - Con,Lineman,Part-Time,Part-Time,Zone A,MA,Male,Black,Under 25,0,Under 1 year,0,0.92,Fully Meets,3,2020-10-25,2021-09-26,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,Yes
1008,Software Engineer,M581,BPC,Software Engineering,General - Con,Foreman,Contract,Temporary,Zone B,MA,Female,Hispanic,35-44,2,Under 1 year,0,0.684,Fully Meets,3,2019-08-28,2020-05-04,Left,Active,Contradicts dates,Voluntary,Voluntary,Yes
1009,Software Engineer,M582,NEL,Software Engineering,General - Con,Model Assistant,Part-Time,Temporary,Zone C,MA,Female,Other,35-44,2,3-5 years,3,3.584,Fully Meets,3,2019-06-13,2023-01-12,Left,Active,Contradicts dates,Retirement,Retirement,No
1010,Software Engineer,M583,EW,Software Engineering,Field Operations,Supervisor,Part-Time,Temporary,Zone C,MA,Male,Hispanic,25-34,1,1-2 years,1,1.177,Fully Meets,3,2021-01-12,2022-03-18,Left,Voluntarily Terminated,Agrees with dates,Voluntary,Voluntary,No
1011,Software Engineer,M584,MSC,Software Engineering,General - Con,Foreman,Contract,Temporary,Zone A,MA,Male,Hispanic,55+,4,1-2 years,1,1.013,Fully Meets,3,2022-02-07,2023-02-12,Left,Voluntarily Terminated,Agrees with dates,Resignation,Voluntary,No
1012,Software Engineer,M585,TNS,Software Engineering,General - Eng,Administrative,Contract,Temporary,Zone A,MA,Male,White,35-44,2,Under 1 year,0,0.572,Fully Meets,3,2020-11-09,2021-06-06,Left,Voluntarily Terminated,Agrees with dates,Involuntary,Involuntary,Yes
1013,Software Engineer,M586,PYZ,Software Engineering,Engineers,Engineer,Part-Time,Full-Time,Zone B,MA,Male,Asian,45-54,3,3-5 years,3,3.231,Fully Meets,3,2020-05-13,,Employed,Active,Agrees with dates,,,No
1014,Shared Services Manager,M587,WBL,Software Engineering,Catv,Clerk,Part-Time,Full-Time,Zone A,MA,Male,Other,55+,4,Under 1 year,0,0.531,Fully Meets,3,2022-12-31,2023-07-13,Left,Active,Contradicts dates,Retirement,Retirement,Yes
1015,Shared Services Manager,M588,NEL,Software Engineering,People Services,Vp,Contract,Part-Time,Zone A,MA,Female,White,55+,4,3-5 years,3,4.674,Fully Meets,3,2018-12-03,,Employed,Active,Agrees with dates,,,No
1016,Senior BI Developer,M589,PL,Admin Offices,Shop (Fleet),Mechanic,Part-Time,Part-Time,Zone B,MA,Female,White,55+,4,1-2 years,1,1.268,Fully Meets,3,2020-02-21,2021-05-29,Left,Active,Contradicts dates,Involuntary,Involuntary,No
1017,Senior BI Developer,M590,BPC,Admin Offices,Field Operations,Laborer,Full-Time,Full-Time,Zone B,MA,Female,Black,55+,4,1-2 years,1,1.27,Fully Meets,3,2020-09-07,2021-12-15,Left,Active,Contradicts dates,Involuntary,Involuntary,No
1018,Senior BI Developer,M591,CCDR,Admin Offices,General - Con,Laborer,Part-Time,Part-Time,Zone A,MA,Female,White,55+,4,1-2 years,1,1.47,Fully Meets,3,2020-06-19,2021-12-08,Left,Active,Contradicts dates,Involuntary,Involuntary,No
1019,Software Engineer,M592,EW,Software Engineering,Fielders,Engineer,Full-Time,Temporary,Zone A,MA,Male,Hispanic,35-44,2,Under 1 year,0,0.786,Fully Meets,3,2022-10-14,2023-07-28,Left,Voluntarily Terminated,Agrees with dates,Retirement,Retirement,Yes
1020,Software Engineer,M593,MSC,Software Engineering,Field Operations,Supervisor,Contract,Full-Time,Zone C,MA,Female,Black,25-34,1,Under 1 year,0,0.077,Fully Meets,3,2023-06-20,2023-07-18,Left,Voluntarily Terminated,Agrees with dates,Resignation,Voluntary,Yes
1021,Software Engineer,M594,TNS,Software Engineering,General - Eng,Billing,Full-Time,Full-Time,Zone C,MA,Male,Hispanic,25-34,1,2-3 years,2,2.683,Fully Meets,3,2020-11-09,2023-07-17,Left,Voluntarily Terminated,Agrees with dates,Resignation,Voluntary,No
1022,Software Engineer,M595,PYZ,Software Engineering,Field Operations,Engineer,Part-Time,Temporary,Zone A,MA,Male,Black,55+,4,Under 1 year,0,0.879,Fully Meets,3,2022-09-19,,Employed,Active,Agrees with dates,,,No
1023,Shared Services Manager,M596,WBL,Software Engineering,General - Con,Clerk,Contract,Part-Time,Zone C,MA,Male,Hispanic,25-34,1,2-3 years,2,2.919,Fully Meets,3,2018-11-09,2021-10-10,Left,Active,Contradicts dates,Voluntary,Voluntary,No
